,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
38392,10515292,HZ257374,01/15/2016 09:00:00 AM,013XX N KOSTNER AVE,0820,THEFT,$500 AND UNDER,COMMERCIAL / BUSINESS OFFICE,False,False,2533,25.0,37.0,23.0,06,,,2016,05/10/2016 03:56:50 PM,,,
38501,10515294,HZ257376,01/01/2016 12:00:00 AM,041XX N MARINE DR,1541,OBSCENITY,SALE/DIST OBSCENE MAT TO MINOR,"SCHOOL, PUBLIC, BUILDING",True,False,1915,19.0,46.0,3.0,17,,,2016,05/10/2016 03:56:50 PM,,,
38502,10515309,HZ249609,04/12/2016 04:00:00 PM,011XX E 95TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,False,False,413,4.0,8.0,47.0,04A,,,2016,05/10/2016 03:56:50 PM,,,
38609,10515355,HZ247169,05/01/2016 11:40:00 AM,054XX S WELLS ST,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,False,False,935,9.0,3.0,37.0,03,1175550.0,1868625.0,2016,05/23/2016 03:48:54 PM,41.794879,-87.63179049,"(41.794879, -87.63179049)"
38762,10515417,HZ257105,01/01/2016 12:01:00 AM,124XX S NORMAL AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,False,523,5.0,34.0,53.0,20,,,2016,05/10/2016 03:56:50 PM,,,
39002,10515434,HZ257497,04/02/2016 12:12:00 PM,021XX S MARSHALL BLVD,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,1023,10.0,12.0,30.0,26,,,2016,05/10/2016 03:56:50 PM,,,
39089,10515453,HZ257533,04/09/2016 10:00:00 AM,031XX W MONTROSE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,1724,17.0,33.0,14.0,26,,,2016,05/10/2016 03:56:50 PM,,,
39851,10515539,HZ257294,02/28/2016 12:01:00 AM,068XX S NORMAL BLVD,0810,THEFT,OVER $500,"SCHOOL, PUBLIC, BUILDING",False,False,722,7.0,6.0,68.0,06,,,2016,05/10/2016 03:56:50 PM,,,
40022,10515629,HZ257915,04/01/2016 12:00:00 PM,072XX N OCONTO AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,False,False,1611,16.0,41.0,9.0,26,,,2016,05/10/2016 03:56:50 PM,,,
40632,10515675,HZ257978,04/04/2016 03:15:00 PM,006XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1834,18.0,42.0,8.0,06,,,2016,05/10/2016 03:56:50 PM,,,
40676,10515688,HZ257806,04/11/2016 12:01:00 AM,030XX S CHRISTIANA AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,1032,10.0,22.0,30.0,11,,,2016,05/10/2016 03:56:50 PM,,,
41198,10515761,HZ257158,03/09/2016 10:45:00 AM,002XX E OHIO ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,1834,18.0,42.0,8.0,11,,,2016,05/10/2016 03:56:50 PM,,,
41263,10515771,HZ257735,04/01/2016 03:00:00 PM,019XX W 50TH ST,1792,KIDNAPPING,CHILD ABDUCTION/STRANGER,"SCHOOL, PUBLIC, GROUNDS",False,False,931,9.0,16.0,61.0,20,,,2016,05/10/2016 03:56:50 PM,,,
41564,10516026,HZ250963,03/15/2016 09:00:00 AM,012XX N CALIFORNIA AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1423,14.0,26.0,24.0,06,,,2016,05/10/2016 03:56:50 PM,,,
41651,10516030,HZ257296,03/15/2016 12:00:00 PM,032XX W PIERCE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1422,14.0,26.0,23.0,11,,,2016,05/10/2016 03:56:50 PM,,,
